wavelength,0,1,2,3,4,5,unknown
794,0.0002,0.0022,0.0076,0.0001,-0.0135,0.0167,0.4397
796,0.0004,0.0028,0.0134,-0.0029,-0.0263,0.0185,0.3724
798,0.0002,0.0027,0.0119,-0.0016,-0.0245,0.0205,0.4171
800,0.0002,0.0025,0.0106,-0.002,-0.0199,0.0166,0.3958
802,0.0003,0.0027,0.0106,-0.0015,-0.0214,0.0175,0.3942
804,0.0002,0.0024,0.0109,-0.0012,-0.0217,0.0191,0.4124
806,0.0002,0.0023,0.0085,-0.0005,-0.0151,0.0166,0.4358
808,0.0003,0.0026,0.0097,-0.0012,-0.0167,0.016,0.3997
810,0.0005,0.0025,0.0103,-0.0024,-0.0201,0.0155,0.3874
812,-0.0001,0.0024,0.0116,-0.0018,-0.0244,0.0186,0.3926
814,0.0002,0.0024,0.0113,-0.0009,-0.0218,0.0206,0.4261
816,0,0.0028,0.0103,-0.0037,-0.0181,0.0137,0.3914
818,0.0004,0.0023,0.0103,-0.0005,-0.0211,0.0183,0.4047
820,0.0001,0.0026,0.0069,-0.0025,-0.0127,0.0118,0.4202
